        0.94000        0.06449        0.00537        0.35201        0.35213-719010043896.17053       -1.76411   822112.79108
        0.24000        1.00000        0.00000        0.43200        1.53958-38263367293710.23438       -3.40000  3030380.85898
        0.58000        0.90576        0.07258        0.43154        0.63589-15511308218019.11523       -3.38229  2999426.40624
        0.46000        0.97636        0.02503        0.43205        0.80305-19900844832618.07422       -3.39732  3025622.02249
        0.48000        0.96737        0.03273        0.43196        0.76944-19052058694744.17188       -3.39645  3024068.14961
        1.70000        0.03440        0.00072        0.28881        0.16069-177803758016.05386       -1.44143   549787.58501
        1.50000        0.03767        0.00099        0.34834        0.22127-239076047812.59113       -1.50494   598843.94605
        1.86000        0.03247        0.00059        0.32465        0.16643-142918981000.76215       -1.39545   515586.36974
        1.90000        0.03199        0.00056        0.27692        0.13787-135640465618.23364       -1.38456   507658.23609
        1.12000        0.05005        0.00238        0.33954        0.28621-466941095984.75732       -1.65462   723169.43208
        0.64000        0.81679        0.12566        0.42691        0.57187-13010140458232.44531       -3.31467  2885565.78391
        1.82000        0.03266        0.00061        0.28227        0.14675-150577049624.49481       -1.40615   523498.07098
        1.24000        0.04437        0.00166        0.32461        0.24727-369853073199.59918       -1.60098   677213.26830
        1.32000        0.04192        0.00140        0.29614        0.21107-321058963196.71960       -1.56953   650997.56637
        1.44000        0.03874        0.00109        0.37859        0.25120-262504955085.74506       -1.52506   614822.84873
        1.64000        0.03524        0.00079        0.28338        0.16309-193586996209.46027       -1.45943   563456.00874
        1.68000        0.03465        0.00074        0.28746        0.16174-182981382227.54855       -1.44760   554444.51674
        1.66000        0.03521        0.00077        0.34999        0.20130-188488124371.12115       -1.45406   559365.96827
        1.48000        0.03822        0.00102        0.29096        0.18541-246085188308.13354       -1.51085   603494.88705
        0.88000        0.07678        0.01014        0.31251        0.33009-870743274966.62524       -1.81970   875359.40160
        1.02000        0.05671        0.00354        0.30725        0.28165-583693496281.68298       -1.70928   771600.52242
        0.92000        0.06859        0.00673        0.31421        0.31841-761142732929.23987       -1.77974   836810.20207
        0.98000        0.06022        0.00421        0.30836        0.29383-644863915926.24182       -1.73488   794963.29324
        0.74000        0.29506        0.15741        0.38450        0.47300-3133258729192.14404       -2.38434  1522698.74223
        0.04000        1.00000        0.00000        0.43200        9.23750-229580776658786.87500       -3.40000  3030384.64000
        0.06000        1.00000        0.00000        0.43200        6.15833-153053851105857.90625       -3.40000  3030384.64000
        1.20000        0.04610        0.00187        0.30013        0.23486-398109766375.97284       -1.61756   691181.39417
        1.18000        0.04705        0.00201        0.32293        0.25803-414536790074.07715       -1.62715   699395.03307
        0.08000        1.00000        0.00000        0.43200        4.61875-114790388329393.43750       -3.40000  3030384.64000
        0.10000        1.00000        0.00000        0.43200        3.69500-91832310663514.75000       -3.40000  3030384.64000
        0.12000        1.00000        0.00000        0.43200        3.07917-76526925552928.95312       -3.40000  3030384.64000
        0.14000        1.00000        0.00000        0.43200        2.63929-65594507616796.24219       -3.40000  3030384.64000
        0.16000        1.00000        0.00000        0.43200        2.30938-57395194164696.71875       -3.40000  3030384.64000
        0.18000        1.00000        0.00000        0.43200        2.05278-51017950368619.30469       -3.40000  3030384.64000
        0.20000        1.00000        0.00000        0.43200        1.84750-45916148591794.30469       -3.40000  3030384.41759
        0.22000        1.00000        0.00000        0.43200        1.67954-41741947138028.82812       -3.40000  3030384.19517
        0.02000        1.00000        0.00000        0.43200       18.47500-459161553317573.75000       -3.40000  3030384.64000
        0.26000        0.99997        0.00004        0.43200        1.42115-35319943210223.19531       -3.40000  3030377.07796
        1.16000        0.04774        0.00209        0.36458        0.29826-431167989842.42249       -1.63626   707216.28107
        1.22000        0.04565        0.00181        0.29630        0.22800-383239828592.32019       -1.60881   683778.17374
        0.28000        0.99976        0.00042        0.43200        1.31964-32795511069603.22656       -3.39995  3030304.12657
        0.30000        0.99991        0.00007        0.43199        1.23165-30608478676528.19141       -3.39994  3030271.20947
        0.32000        0.99941        0.00083        0.43203        1.15473-28694147213853.62500       -3.39990  3030202.48637
        0.34000        0.99798        0.00300        0.43199        1.08673-27002422805648.77344       -3.39978  3029987.41811
        0.36000        0.99715        0.00384        0.43192        1.02624-25496841611095.79297       -3.39959  3029663.83944
        0.38000        0.99540        0.00591        0.43199        0.97230-24150514503435.42188       -3.39944  3029388.63656
