             10        0.69270        0.15970
             11        0.69281        0.89123
             12        0.69273        0.04652
             13        0.69283        0.02277
             14        0.69277        0.47855
             15        0.69278        0.47274
             16        0.69282        0.06235
             17        0.69283        0.88510
             18        0.69273        0.49055
             19        0.69287        0.21353
             20        0.69288        0.38619
             21        0.69287        0.10183
             22        0.69271        0.33675
             23        0.69265        0.90297
             24        0.69278        0.66156
             25        0.69283        0.76227
             26        0.69266        0.13046
             27        0.69278        0.52510
             28        0.69271        0.56299
             29        0.69267        0.33105
             30        0.69280        0.39924
             31        0.69281        0.83248
